,Strategy 1,Strategy 2,Correlation
839,morning_evening_star,parabolic_sar_ema,-0.01
302,ema_rsi_cross,stoch_bb_bounce,-0.009
604,h1_trend_m5_rsi,macd_ema_trend,-0.009
157,cci_ema,ema_stochastic_mtf,-0.009
887,rsi_divergence,trend_mean_reversion,-0.008
543,h1_trend_m5_ema_cross,heikin_ashi_ema,-0.008
294,ema_rsi_cross,marubozu_trend,-0.008
183,cci_ema,stoch_bb_bounce,-0.008
145,breakout_retest,stoch_bb_bounce,-0.008
296,ema_rsi_cross,morning_evening_star,-0.007
829,momentum_exhaustion,rsi_divergence,-0.007
664,heikin_ashi_ema,stoch_bb_bounce,-0.006
351,ema_stochastic,h1_adx_m5_ema,-0.006
559,h1_trend_m5_ema_cross,scalp_pullback,-0.005
750,macd_bb_breakout,scalp_pullback,-0.005
765,macd_divergence,morning_evening_star,-0.005
424,engulfing_ema,h1_trend_m5_rsi,-0.005
585,h1_trend_m5_macd,rsi_divergence_ema,-0.005
845,morning_evening_star,stoch_divergence,-0.004
10,adx_di_ema,ema_stochastic_mtf,-0.004
282,ema_rsi_cross,h1_trend_m5_macd,-0.004
454,fib_ema_bounce,h1_trend_m5_macd,-0.003
819,marubozu_trend,stoch_bb_bounce,-0.003
882,rsi_divergence,scalp_pullback,-0.003
810,macd_histogram_div,triple_confirm,-0.003
447,engulfing_ema,trend_mean_reversion,-0.003
434,engulfing_ema,macd_histogram_div,-0.003
635,h1_trend_m5_stoch,morning_evening_star,-0.002
766,macd_divergence,parabolic_sar_ema,-0.002
181,cci_ema,rsi_divergence_ema,-0.002
356,ema_stochastic,h1_trend_m5_stoch,-0.002
442,engulfing_ema,stoch_bb_bounce,-0.002
484,h1_adx_m5_ema,ichimoku_cloud_break,-0.001
348,ema_stochastic,ema_stochastic_mtf,-0.001
859,parabolic_sar_ema,stoch_divergence,-0.001
217,donchian_rsi,stoch_divergence,-0.001
353,ema_stochastic,h1_trend_m5_ema_cross,0.0
43,adx_di_ema,triple_confirm,0.0
213,donchian_rsi,rsi_divergence,0.0
799,macd_histogram_div,pin_bar_ema,0.0
189,cci_ema,trend_momentum_vol,-0.0
175,cci_ema,marubozu_trend,0.001
72,adx_rsi_ema,scalp_pullback,0.001
209,donchian_rsi,macd_histogram_div,0.001
190,cci_ema,triple_confirm,0.001
846,morning_evening_star,stoch_ema_trend,0.001
415,ema_stochastic_mtf,trend_momentum_vol,0.002
761,macd_divergence,macd_ema_trend,0.002
39,adx_di_ema,supertrend_rsi_ema,0.003
2,adx_di_ema,breakout_retest,0.004
338,ema_stoch_cross,scalp_pullback,0.004
928,stoch_divergence,williams_ema,0.004
28,adx_di_ema,marubozu_trend,0.005
34,adx_di_ema,rsi_divergence_ema,0.005
816,marubozu_trend,rsi_divergence,0.005
638,h1_trend_m5_stoch,rsi_divergence,0.005
290,ema_rsi_cross,macd_bb_breakout,0.005
407,ema_stochastic_mtf,rsi_divergence_ema,0.006
509,h1_trend_m5_bb,h1_trend_m5_ema_cross,0.006
110,bb_rsi_bounce,scalp_pullback,0.006
22,adx_di_ema,keltner_rsi,0.007
532,h1_trend_m5_bb,stoch_ema_trend,0.007
237,ema_macd_rsi_confluence,macd_histogram_div,0.007
623,h1_trend_m5_rsi,williams_ema,0.007
498,h1_adx_m5_ema,scalp_pullback,0.008
32,adx_di_ema,pin_bar_ema,0.008
858,parabolic_sar_ema,stoch_bb_bounce,0.008
834,momentum_exhaustion,stoch_ema_trend,0.008
186,cci_ema,supertrend_rsi_ema,0.008
745,macd_bb_breakout,morning_evening_star,0.008
422,engulfing_ema,h1_trend_m5_ema_cross,0.009
425,engulfing_ema,h1_trend_m5_stoch,0.009
5,adx_di_ema,ema_macd_rsi_confluence,0.009
857,parabolic_sar_ema,scalp_pullback,0.009
6,adx_di_ema,ema_ribbon_pullback,0.01
698,ichimoku_cloud_break,pin_bar_ema,0.01
752,macd_bb_breakout,stoch_divergence,0.01
40,adx_di_ema,three_bar_reversal,0.01
139,breakout_retest,morning_evening_star,0.01
768,macd_divergence,rsi_divergence_ema,0.01
838,momentum_exhaustion,williams_ema,0.01
120,bb_rsi_bounce,williams_ema,0.011
73,adx_rsi_ema,stoch_bb_bounce,0.011
280,ema_rsi_cross,h1_trend_m5_bb,0.011
663,heikin_ashi_ema,scalp_pullback,0.011
855,parabolic_sar_ema,rsi_divergence,0.011
584,h1_trend_m5_macd,rsi_divergence,0.012
339,ema_stoch_cross,stoch_bb_bounce,0.012
